IdAgente,IdeCnjUndCnm,CodigoMunicipio,DatInicioInterrupcao,QtdInterProgramada,QtdInterNaoProgramada,Faixa
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,17:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-24,33.0,0.0,20:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-24,33.0,0.0,20:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-24,33.0,0.0,21:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-25,34.0,0.0,21:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-25,34.0,0.0,22:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-25,34.0,0.0,22:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,1.0,0.0,11:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,1.0,0.0,11:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,2.0,0.0,12:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,2.0,0.0,12:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,2.0,0.0,13:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,2.0,0.0,13:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,2.0,0.0,14:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,2.0,0.0,14:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,2.0,0.0,15:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,8.0,0.0,15:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,8.0,0.0,16:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-26,8.0,0.0,16:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,1.0,0.0,08:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,1.0,0.0,08:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,1.0,0.0,09:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,1.0,0.0,09:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,1.0,0.0,10:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,1.0,0.0,10:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,8.0,0.0,15:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,8.0,0.0,16:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,9.0,0.0,16:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,9.0,0.0,17:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-27,121.0,0.0,17:30:00.0000000
